Spectrum File,Sample #,Microplastic number (P),Resolution (cm^{-1}),Number of scans,Dimensions of ATR (um),ATR pressure (ATR only),Likely substrate,FTIR Mode,Date,Notes,
903511_P9_reflectance_8cm_16scan_LA_25um.map,903511,9,8,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_8cm_2scan_LA_25um.map,903511,9,8,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_16cm_128scan_LA_25um.map,903511,9,16,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_16cm_16scan_LA_25um.map,903511,9,16,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_16cm_2scan_LA_25um.map,903511,9,16,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_ATR_4cm_128scan_40umAPT_GeATR_MCT_10.SPA,903511,9,4,128,40x40,10,,ATR,<2021-05-17 Mon>,,
903511_P9_ATR_4cm_128scan_40umAPT_GeATR_MCT_30.SPA,903511,9,4,128,40x40,30,,ATR,<2021-05-17 Mon>,,
903511_P10_reflectance_4cm_128scan_LA_25um.map,903511,10,4,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_4cm_16scan_LA_25um.map,903511,10,4,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_4cm_2scan_LA_25um.map,903511,10,4,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_8cm_128scan_LA_25um.map,903511,10,8,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_8cm_16scan_LA_25um.map,903511,10,8,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_8cm_2scan_LA_25um.map,903511,10,8,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_16cm_128scan_LA_25um.map,903511,10,16,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_16cm_16scan_LA_25um.map,903511,10,16,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_reflectance_16cm_2scan_LA_25um.map,903511,10,16,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P10_ATR_4cm_128scan_30umAPT_GeATR_MCT_10.SPA,903511,10,4,128,30x30,10,,ATR,<2021-05-26 Wed>,"ATR showed nothing (no peaks, just large lump)",
903511_P10_ATR_4cm_128scan_30umAPT_GeATR_MCT_30.SPA,903511,10,4,128,30x30,30,,ATR,<2021-05-26 Wed>,,
903511_P11_reflectance_4cm_128scan_LA_25um.map,903511,11,4,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_4cm_16scan_LA_25um.map,903511,11,4,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_4cm_2scan_LA_25um.map,903511,11,4,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_8cm_128scan_LA_25um.map,903511,11,8,128,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_8cm_16scan_LA_25um.map,903511,11,8,16,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_8cm_2scan_LA_25um.map,903511,11,8,2,,,,reflectance,<2021-05-26 Wed>,,
903511_P11_reflectance_16cm_128scan_LA_25um.map,903511,11,16,128,,,,reflectance,<2021-05-26 Wed>,,
